"","RRA_id","x","y","dist_TO_cityhall"
"189",574,-79.39319389,43.92707963,30430.4209496134
"190",574,-79.39319389,43.92707963,30430.4209496134
"191",574,-79.39319389,43.92707963,30430.4209496134
"192",575,-79.39319389,43.92707963,30430.4209496134
"193",576,-79.14766821,43.83754563,27917.7290552575
"194",576,-79.14766821,43.83754563,27917.7290552575
"195",577,-79.15603158,43.84131132,27778.2460583724
"196",577,-79.15603158,43.84131132,27778.2460583724
"197",582,-79.28918351,43.86076471,24274.3086025435
"198",582,-79.28918351,43.86076471,24274.3086025435
"199",582,-79.28918351,43.86076471,24274.3086025435
"200",583,-79.28918351,43.86076471,24274.3086025435
"201",584,-79.28934934,43.86092779,24287.3494464843
"202",585,-79.28934934,43.86092779,24287.3494464843
"203",590,-79.29077624,43.89708597,28102.560995357
"204",590,-79.29077624,43.89708597,28102.560995357
"205",590,-79.29077624,43.89708597,28102.560995357
"206",591,-79.28159549,43.89246423,27816.6570046776
"207",591,-79.28159549,43.89246423,27816.6570046776
"208",592,-79.29600502,43.89678673,27961.4251052836
"209",592,-79.29600502,43.89678673,27961.4251052836
"210",592,-79.29600502,43.89678673,27961.4251052836
"211",593,-79.30870445,43.98705476,37579.8257489126
"212",593,-79.30870445,43.98705476,37579.8257489126
"213",594,-79.30856548,43.98713919,37590.8855714171
"214",594,-79.30856548,43.98713919,37590.8855714171
"215",595,-79.79487195,43.72184882,33896.306145432
"216",595,-79.79487195,43.72184882,33896.306145432
"217",597,-79.10357867,43.87371199,33270.3391149057
"218",597,-79.10357867,43.87371199,33270.3391149057
"219",598,-79.10521699,43.87209452,33049.1135890757
"220",598,-79.10521699,43.87209452,33049.1135890757
"221",598,-79.10521699,43.87209452,33049.1135890757
"222",599,-79.11364535,43.88444577,33629.5530150441
"223",612,-79.31498,43.87254,24980.5582362157
"224",617,-79.32115219,43.64629121,5123.35473412343
"225",617,-79.32115219,43.64629121,5123.35473412343
"226",617,-79.32115219,43.64629121,5123.35473412343
"227",618,-79.32157623,43.64465339,5121.537419054
"228",618,-79.32157623,43.64465339,5121.537419054
"229",618,-79.32157623,43.64465339,5121.537419054
"230",618,-79.32157623,43.64465339,5121.537419054
"231",622,-79.08768664,43.84966184,32286.8556571371
"232",622,-79.08768664,43.84966184,32286.8556571371
"233",625,-79.8325616,43.75093624,37647.7796777494
"234",643,-79.17262891,43.79880748,23445.7557040095
"235",643,-79.17262891,43.79880748,23445.7557040095
"236",643,-79.17262891,43.79880748,23445.7557040095
"237",644,-79.17262891,43.79880748,23445.7557040095
"238",645,-79.22295861,43.82565253,23107.3337274648
"239",646,-79.22295861,43.82565253,23107.3337274648
"240",651,-79.30621289,43.66086054,6314.98779342225
"241",652,-79.17053365,43.81624573,24935.7170262477
"242",652,-79.17053365,43.81624573,24935.7170262477
"243",652,-79.17053365,43.81624573,24935.7170262477
"244",3,-79.02502286,43.8776687,38112.5369258805
"245",4,-79.02524452,43.87846091,38156.6227879022
"246",7,-79.84551868,43.92124297,47525.0716684721
"247",8,-79.75910182,43.87245516,38729.3052515234
"248",10,-79.03165278,43.81767221,33687.7713795624
"249",11,-79.03165278,43.81767221,33687.7713795624
"250",20,-79.81476218,43.93058546,46309.430284765
"251",21,-79.81476218,43.93058546,46309.430284765
"252",23,-79.82881278,43.93463621,47451.9511694338
"253",24,-79.83770038,43.91922051,46895.9932272822
"254",25,-79.83770038,43.91922051,46895.9932272822
"255",26,-79.83770038,43.91922051,46895.9932272822
"256",27,-79.83770038,43.91922051,46895.9932272822
"257",28,-79.83309235,43.92828935,47252.9487167996
"258",29,-79.8313374,43.92937161,47223.4230997217
"259",30,-79.82870951,43.9342778,47419.5467241702
"260",31,-79.69078592,43.69656734,25129.7684705461
"261",32,-79.69078592,43.69656734,25129.7684705461
"262",33,-79.69078592,43.69656734,25129.7684705461
"263",34,-79.69078592,43.69656734,25129.7684705461
"264",35,-79.69078592,43.69656734,25129.7684705461
"265",36,-79.69078592,43.69656734,25129.7684705461
"266",37,-79.69078592,43.69656734,25129.7684705461
"267",38,-79.68973943,43.69560252,25027.0540375152
"268",39,-79.68973943,43.69560252,25027.0540375152
"269",40,-79.68973943,43.69560252,25027.0540375152
"270",41,-79.68973943,43.69560252,25027.0540375152
"271",42,-79.68973943,43.69560252,25027.0540375152
"272",43,-79.69111252,43.69643031,25152.6847823957
"273",44,-79.69111252,43.69643031,25152.6847823957
"274",45,-79.69111252,43.69643031,25152.6847823957
"275",50,-79.98382056,43.94587276,58086.1946823254
"276",51,-79.98382056,43.94587276,58086.1946823254
"277",57,-79.04190263,43.83866612,34341.4079742027
"278",59,-79.26496398,43.84592307,23437.9989188697
"279",62,-79.7086565,43.80354694,30963.2536873568
"280",63,-79.71076152,43.80360544,31109.349240936
"281",64,-79.71076152,43.80360544,31109.349240936
"282",65,-79.71403938,43.76552357,29303.6638679439
"283",82,-79.65838601,43.77531646,25877.6593301797
"284",83,-79.65838601,43.77531646,25877.6593301797
"285",84,-79.65838601,43.77531646,25877.6593301797
"286",85,-79.6570992,43.77507453,25775.5138039762
"287",86,-79.6570992,43.77507453,25775.5138039762
"288",87,-79.6570992,43.77507453,25775.5138039762
"289",88,-79.65403449,43.77375008,25488.7597981473
"290",89,-79.65403449,43.77375008,25488.7597981473
"291",90,-79.65403449,43.77375008,25488.7597981473
"292",112,-79.70592156,43.79778818,30437.0364560467
"293",113,-79.70592156,43.79778818,30437.0364560467
"294",114,-79.70559551,43.79792965,30423.0511889734
"295",115,-79.70559551,43.79792965,30423.0511889734
"296",124,-79.6704759,43.77597042,26747.2556040282
"297",139,-79.51770844,43.77296662,17084.941914112
"298",140,-79.51770844,43.77296662,17084.941914112
"299",141,-79.51770844,43.77296662,17084.941914112
"300",142,-79.51770844,43.77296662,17084.941914112
"301",144,-79.23422678,43.70634699,13405.206712431
"302",145,-79.73495568,43.88301141,38017.2243296524
"303",146,-79.73495568,43.88301141,38017.2243296524
"304",147,-79.73495568,43.88301141,38017.2243296524
"305",148,-79.72275113,43.89295146,38059.9111012236
"306",149,-79.72291899,43.89063014,37889.8375591116
"307",150,-79.72305706,43.89082121,37912.5537713493
"308",152,-79.72511645,43.88813774,37825.4545460908
"309",153,-79.72511645,43.88813774,37825.4545460908
"310",154,-79.72517127,43.88842656,37850.7515917881
"311",155,-79.72517127,43.88842656,37850.7515917881
"312",156,-79.72517127,43.88842656,37850.7515917881
"313",157,-79.72694333,43.90171889,38983.7568660284
"314",158,-79.72589729,43.90164278,38918.5069145906
"315",167,-79.43967329,43.93889895,32048.3139532961
"316",189,-79.08839358,43.91605006,37625.2402060957
"317",190,-79.08839358,43.91605006,37625.2402060957
"318",191,-79.08864573,43.91634192,37637.6346337099
"319",192,-79.08864573,43.91634192,37637.6346337099
"320",197,-79.07983151,43.92065837,38456.3940749438
"321",199,-79.07642903,43.92540532,39037.1641258453
"322",200,-79.07642903,43.92540532,39037.1641258453
"323",201,-79.07652186,43.92560459,39049.5915845725
"324",202,-79.31107694,43.86758862,24517.1169442729
"325",206,-79.86717124,43.86685806,45478.3248337078
"326",207,-79.86680699,43.86759179,45495.8068880839
"327",210,-79.68927711,43.77529608,28022.1262940374
"328",211,-79.68927711,43.77529608,28022.1262940374
"329",217,-79.67196699,43.76044445,26020.0520351088
"330",219,-79.67041187,43.75347526,25563.7051117821
"331",220,-79.67006853,43.75345891,25538.0665157065
"332",230,-79.6998664,43.76660735,28329.7772320754
"333",231,-79.6998664,43.76660735,28329.7772320754
"334",234,-79.6899556,43.76763954,27670.5312453176
"335",243,-79.69856153,43.9159408,38589.0042282394
"336",244,-79.69722237,43.91611611,38533.4998486877
"337",345,-79.8128645,43.73123223,35544.2801404372
"338",346,-79.8128645,43.73123223,35544.2801404372
"339",358,-79.06209676,43.87362007,35602.947632138
"340",359,-79.06209676,43.87362007,35602.947632138
"341",360,-79.06209676,43.87362007,35602.947632138
"342",361,-79.74506017,43.92942601,42203.2109563802
"343",362,-79.74506017,43.92942601,42203.2109563802
"344",363,-79.74374166,43.92999169,42176.3512055272
"345",364,-79.74374166,43.92999169,42176.3512055272
"346",394,-79.02158733,43.90384215,40270.8634162715
"347",395,-79.02191766,43.90409182,40270.8648596588
"348",396,-79.03094869,43.89800808,39280.3729363822
"349",402,-79.53500935,43.93164958,33218.5411812966
"350",414,-79.04690151,43.82211692,32942.8299205616
"351",417,-79.77430953,43.8896659,40885.0405327374
"352",418,-79.77430953,43.8896659,40885.0405327374
"353",419,-79.77435301,43.88935157,40865.3395446524
"354",420,-79.769839,43.89297242,40848.6474018114
"355",421,-79.77177193,43.89258304,40938.4071718437
"356",422,-79.78121205,43.94802952,45701.296601979
"357",423,-79.78096833,43.94756892,45651.0424117573
"358",424,-79.78096833,43.94756892,45651.0424117573
"359",425,-79.78118096,43.94845043,45733.0315386207
"360",426,-79.78118096,43.94845043,45733.0315386207
"361",431,-79.09999405,43.81090604,28762.1256312189
"362",432,-79.09999405,43.81090604,28762.1256312189
"363",433,-79.09807833,43.80970002,28803.5327202891
"364",434,-79.09807833,43.80970002,28803.5327202891
"365",435,-79.09807833,43.80970002,28803.5327202891
"366",438,-79.37338941,43.81684312,18183.9761260082
"367",439,-79.38942624,43.61416004,4394.93316064655
"368",440,-79.38942624,43.61416004,4394.93316064655
"369",441,-79.57787694,43.78484229,21353.3084318526
"370",442,-79.31275006,43.66336687,5839.74553513118
"371",443,-79.31275006,43.66336687,5839.74553513118
"372",444,-79.31522819,43.66343819,5645.61451207441
"373",445,-79.31522819,43.66343819,5645.61451207441
